,el_ss,el_sl,hc_cc,hc_st,li_st,ng_cc,ng_ce,ng_gt,ng_st,mo_cc,mo_gt,mo_st,of_ce,of_gt,of_st,hy_rs,bm_st,hy_rr,or_st,so_ro,so_op,wi_off,wi_on
44,21.511134999999925,1976.5616423003867,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,18.17672000000001,5999.110860055198,1330.2362653791376,278.0195,0.0,0.0,2665.1585931960385,52881.06880133836
45,0.0,1086.8476704004606,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,17.609289999999945,5999.110860055198,1276.8102048979824,278.0195,0.0,0.0,2761.0506498407112,51998.8425577394
46,0.0,232.69684555260312,0.0,0.0,0.0,4275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,18.084889999999962,5999.110860055198,1303.7995349738476,278.0195,0.0,0.0,2931.5805240297827,51902.69797806618
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37973000000003,5999.110860055198,1324.746807408753,278.0195,0.0,0.0,2494.641475989542,52480.57337469608
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.686770000000035,2152.4289106499473,1341.494111367,278.0195,0.0,0.0,2931.5805240297827,52564.77209953252
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.52103000000004,0.0,1343.0278962927569,278.0195,0.0,0.0,488.50436109180015,55908.87372418784
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.424279999999975,0.0,1332.0215729734716,278.0195,0.0,0.0,0.0,60787.655707944505
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37220999999997,0.0,1310.885844647686,140.5664645393517,0.0,0.0,0.0,66469.9721143545
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69266.85739287309
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71403.44408639485
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.478469999999987,0.0,1354.8225397327005,278.0195,0.0001042920424695032,3.0537728916083304e-05,0.0,73615.03636838353
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.399220000000025,0.0,1337.7962156988706,278.0195,428.2591962191923,121.27991778881405,5.423628836808348,73972.96314951051
