,el_ss,el_sl,ng_cc,ng_ce,ng_gt,ng_st,mo_cc,mo_gt,mo_st,of_ce,of_gt,of_st,hy_rs,bm_st,hy_rr,or_st,so_ro,so_op,wi_off,wi_on
1889,210.6103329999998,9452.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.905920000000037,7499.0033044436295,1822.7429170225128,278.0195,333.4893712213955,67.35914292259841,5172.879998243844,52648.935685163466
1890,147.42723310000017,9452.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.631099999999947,7455.281081834169,1829.8285121772753,278.0195,0.0,0.0,5172.879998243844,62412.67758671162
1891,0.0,9221.039289909077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.524669999999997,3714.4090042603834,1908.8064201698094,278.0195,0.0,0.0,5172.879998243844,67516.9271367357
1892,0.0,2376.1011950909287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.415730000000075,5769.5490610377165,1852.9856438488666,278.0195,0.0,0.0,2695.7540053434727,67973.92819177826
1893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.14070999999999,344.96036752056534,1815.838669411451,278.0195,0.0,0.0,5172.879998243844,68503.63028403954
1894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.776519999999977,0.0,1813.6751111602696,278.0195,0.0,0.0,829.9678519145309,69836.0344920882
1895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70840.27309104557
1896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71829.37985856838
1897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69111.34917252541
1898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65219.442049116486
1899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62541.0213880829
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60303.46785409914
1901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.088064638064,215.8901951331153,0.0,70019.47662080952
1902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4491.972557829478,0.0,0.0,73070.89247450416
1903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12377.732402743772,2674.996784279192,0.0,69719.92962401664
1904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18843.45862744325,5464.628506652174,0.0,64747.239047813484
1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19995.550427733182,5112.188874015501,0.0,62369.22841621492
1906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31805.259734522857,5387.31827268872,0.0,49045.632041537225
1907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32021.010665467613,4944.643327734832,0.0,57446.49858523456
1908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31360.51695302382,4932.223442446269,0.0,49848.89568965995
1909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22486.76500745513,7105.022229643455,0.0,57690.12625255282
1910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7180.036084400912,3731.124065920296,0.0,76608.14413200678
1911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8577.36187817411,1639.3287138553826,0.0,75893.53836108262
1912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.09608000000007,6443.661877927875,1850.4964957155787,278.0195,4552.056610403151,1199.6422957955442,2263.966076412552,69823.88567154693
1913,0.0,0.0,5578.7644506394445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.237210000000072,7499.0033044436295,1814.9925277363934,278.0195,277.4967853102721,56.74366528391714,3693.985535148795,54004.457619685876
1914,0.0,0.0,15329.901036315598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.15552999999999,7499.0033044436295,1891.8612593420405,278.0195,0.0,0.0,2863.8164356369743,43997.18899303537
1915,210.6103329999998,9452.2,25036.551642857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2394.3646,24.30424000000007,7499.0033044436295,1927.2809460752594,278.0195,0.0,0.0,2278.2739022593123,32304.225556004327
1916,32.43809760000013,4975.2537593368515,24685.038659941383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.252230000000054,7499.0033044436295,1843.7736173557612,278.0195,0.0,0.0,4025.112912948066,23716.03541691388
1917,33.54632840000018,6195.256704867308,24235.471642857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.07371000000005,7499.0033044436295,1855.6621243405843,278.0195,0.0,0.0,5031.590584233013,18104.061745252508
1918,152.52055109999972,9416.383560960328,25036.551642857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,23.957269999999923,7499.0033044436295,1831.4310178046176,278.0195,0.0,0.0,4933.1637994629855,14324.578617418038
1919,138.3862829999999,7203.897425061288,24235.471642857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,23.801149999999996,7499.0033044436295,1839.356156444978,278.0195,0.0,0.0,5172.879998243844,13425.375888456065
1920,1.1463059999999992,2710.749034774229,24235.471642857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2347.8646,24.01657999999999,7499.0033044436295,1825.9087576177235,278.0195,0.0,0.0,5099.018227884626,13695.858447468758
