;bm_st;hy_rs;wi_on;wi_off;so_ro;nu;li_st;hc_cc;ng_cc;hc_st;ng_ce;ng_gt;ng_st;so_op;hy_rr
105;4526;1210;5846;8792;352;7850;15134;9663;10724;0;0;0;0;0;0
106;4533;1345;6313;8913;817;7855;15178;9550;10750;0;0;0;0;0;0
107;4555;1471;6321;8740;1210;7865;15205;9765;10786;0;0;0;0;0;0
108;4584;1534;6290;8975;1334;7858;15205;9767;10890;0;0;0;0;0;0
109;4583;1459;6230;9334;1164;7856;15217;9790;10913;0;0;0;0;0;0
110;4587;1528;6151;10115;730;7859;15175;9830;11175;0;0;0;0;0;0
111;4601;1416;6155;10347;257;7853;15090;9854;11294;0;0;0;0;0;0
112;4604;1492;6110;10384;11;7853;14809;9786;11571;0;0;0;0;0;0
113;4604;1407;6111;10564;0;7853;14810;9751;11654;0;0;0;0;0;0
114;4608;1320;6072;10386;0;7852;14776;9725;11606;0;0;0;0;0;0
115;4612;1318;5942;10323;0;7857;14589;9755;11106;0;0;0;0;0;0
116;4613;1303;6028;10089;0;7852;14425;9303;10922;0;0;0;0;0;0
117;4616;1300;5864;10088;0;7853;14113;8966;9941;0;0;0;0;0;0
118;4408;1288;5527;10097;0;7855;13744;8390;9629;0;0;0;0;0;0
119;4289;1281;5356;10206;0;7858;13221;7196;9154;0;0;0;0;0;0
120;4276;1292;5157;9903;0;7933;12549;6245;8286;0;0;0;0;0;0
121;4265;1268;4983;9712;0;8042;12305;6079;8191;0;0;0;0;0;0
122;4458;1278;4820;9457;0;8100;12146;6306;7986;0;0;0;0;0;0
123;4568;1295;4752;9127;0;8103;12112;6400;7898;0;0;0;0;0;0
124;4540;1352;4753;8342;0;8026;12533;6472;8032;0;0;0;0;0;0
125;4539;1275;4482;7715;0;8017;13185;6449;8449;0;0;0;0;0;0
126;4506;1271;4812;7106;0;8042;13895;7517;9100;0;0;0;0;0;0
127;4526;1295;4708;6434;0;8122;14290;8250;10016;0;0;0;0;0;0
128;4567;1278;4752;6068;99;8146;14714;9716;10657;0;0;0;0;0;0
129;4557;1316;4301;5596;377;8147;15074;10075;10719;0;0;0;0;0;0
130;4547;1298;3898;4723;939;8148;15149;10594;10932;0;0;0;0;0;0
131;4529;1319;3664;4115;1394;8149;15166;11155;11214;0;0;0;0;0;0
132;4535;1281;3792;3942;1568;8150;15113;11439;11052;0;0;0;0;0;0
133;4553;1236;3540;3943;1403;8157;15123;11581;10954;0;0;0;0;0;0
134;4557;1236;3219;4198;955;8151;15125;11457;11135;0;0;0;0;0;0
135;4573;1233;3011;4314;372;8154;15112;11650;11179;0;0;0;0;0;0
136;4576;1335;3115;4415;25;8161;14979;11688;11216;0;0;0;0;0;0
137;4581;1321;3182;4489;0;8163;14766;11841;11227;0;0;0;0;0;0
138;4603;1344;2901;4517;0;8164;14792;11691;11207;0;0;0;0;0;0
139;4621;1284;2458;4434;0;8164;14866;11666;11164;0;0;0;0;0;0
140;4614;1310;2151;4330;0;8164;14889;11543;11001;0;0;0;0;0;0
141;4596;1252;2017;4495;0;8161;14911;11045;10807;0;0;0;0;0;0
142;4591;1237;1862;4774;0;8160;14691;10315;10543;0;0;0;0;0;0
143;4589;1228;1697;4809;0;8155;14618;9215;9633;0;0;0;0;0;0
144;4567;1239;1336;4819;0;8150;14577;7881;9237;0;0;0;0;0;0
145;4538;1219;1110;5029;0;8152;14223;7658;9345;0;0;0;0;0;0
146;4557;1240;1097;5046;0;8158;13656;7616;9214;0;0;0;0;0;0
147;4557;1225;1166;5189;0;8157;13511;7640;8823;0;0;0;0;0;0
148;4542;1236;1199;5325;0;8155;13750;7865;8896;0;0;0;0;0;0
149;4540;1327;1222;5360;0;8163;14014;9134;10081;0;0;0;0;0;0
150;4526;1394;1170;5282;0;8164;14543;11346;10999;0;0;0;0;0;0
151;4535;1423;1137;5012;1;8170;14891;11974;11797;0;0;0;0;0;0
152;4557;1389;1202;4832;111;8167;15265;12084;12286;0;0;0;0;0;0
153;4545;1404;1164;4786;340;8161;15337;12078;12255;0;0;0;0;0;0
154;4543;1434;938;4902;925;8164;15369;12071;12220;0;0;0;0;0;0
155;4536;1442;858;4909;1548;8164;15377;12127;12194;0;0;0;0;0;0
156;4553;1484;769;4851;1821;8164;15353;12145;12152;0;0;0;0;0;0
157;4565;1471;765;4717;1638;8167;15363;12232;12081;0;0;0;0;0;0
158;4581;1406;728;4335;1133;8165;15352;12101;11871;0;0;0;0;0;0
159;4582;1396;774;4092;465;8168;15341;12096;12119;0;0;0;0;0;0
160;4586;1544;839;4434;35;8170;15296;12094;12131;0;0;0;0;0;0
161;4609;1555;889;4868;0;8179;15307;12237;11945;0;0;0;0;0;0
162;4629;1491;1065;5464;0;8175;15312;12253;11532;0;0;0;0;0;0
163;4638;1506;1029;5705;0;8172;15294;12192;11358;0;0;0;0;0;0
164;4622;1367;938;5690;0;8166;15256;11575;11093;0;0;0;0;0;0
165;4598;1369;891;5575;0;8161;15155;11002;10678;0;0;0;0;0;0
166;4585;1375;799;5480;0;8156;15061;10756;10572;0;0;0;0;0;0
167;4579;1369;846;5482;0;8152;14848;10132;10542;0;0;0;0;0;0
168;4559;1348;854;5506;0;8145;14360;9055;10495;0;0;0;0;0;0
169;4531;1356;793;5296;0;8154;14111;8183;10508;0;0;0;0;0;0
170;4526;1350;861;5115;0;8155;14077;7838;10506;0;0;0;0;0;0
171;4501;1373;911;5121;0;8146;13860;7955;10482;0;0;0;0;0;0
172;4478;1422;845;5120;0;8155;13814;8420;10120;0;0;0;0;0;0
173;4479;1362;822;5018;0;8164;14102;9912;10458;0;0;0;0;0;0
174;4475;1336;838;4821;0;8150;14620;11342;11626;0;0;0;0;0;0
175;4513;1378;1048;4666;1;8151;14896;11818;11974;0;0;0;0;0;0
176;4533;1419;1113;4413;94;8163;15231;12098;12615;0;0;0;0;0;0
